date,campaign_name,channel,country,industry,impressions,clicks,cost,conversions,revenue,customer_id,funnel_stage,objective
2024-01-01,Q1 Brand Awareness - Meta,Meta,Canada,Technology,125000,3750,2500,112,4480,CUST001,Awareness,Awareness
2024-01-01,Google Search - Enterprise,Google,Canada,Financial Services,85000,4250,3825,255,7650,CUST002,Consideration,Conversion
2024-01-01,Pinterest Lifestyle Campaign,Pinterest,Canada,Retail,95000,2850,1425,95,1900,CUST003,Awareness,Awareness
2024-01-01,LinkedIn B2B - SaaS,LinkedIn,Canada,Technology,45000,1800,3600,180,9000,CUST004,Consideration,Consideration
2024-01-02,Q1 Brand Awareness - Meta,Meta,Canada,Technology,128000,3840,2560,118,4720,CUST001,Awareness,Awareness
2024-01-02,Google Search - Enterprise,Google,Canada,Financial Services,87000,4350,3915,262,7860,CUST002,Consideration,Conversion
2024-01-02,Pinterest Lifestyle Campaign,Pinterest,Canada,Retail,97000,2910,1455,98,1960,CUST003,Awareness,Awareness
2024-01-02,LinkedIn B2B - SaaS,LinkedIn,Canada,Technology,46000,1840,3680,185,9250,CUST004,Consideration,Consideration
2024-01-03,Q1 Brand Awareness - Meta,Meta,Canada,Technology,130000,3900,2600,120,4800,CUST001,Awareness,Awareness
2024-01-03,Google Search - Enterprise,Google,Canada,Financial Services,89000,4450,3975,270,8100,CUST002,Consideration,Conversion
2024-01-03,Pinterest Lifestyle Campaign,Pinterest,Canada,Retail,99000,2970,1485,100,2000,CUST003,Awareness,Awareness
2024-01-03,LinkedIn B2B - SaaS,LinkedIn,Canada,Technology,47000,1880,3760,190,9500,CUST004,Consideration,Consideration
2024-01-04,Q1 Brand Awareness - Meta,Meta,US,Technology,145000,4350,3000,135,5400,CUST005,Awareness,Awareness
2024-01-04,Google Search - Enterprise,Google,US,Financial Services,95000,4750,4275,295,8850,CUST006,Consideration,Conversion
2024-01-04,Pinterest Lifestyle Campaign,Pinterest,US,Retail,110000,3300,1650,115,2300,CUST007,Awareness,Awareness
2024-01-04,LinkedIn B2B - SaaS,LinkedIn,US,Technology,52000,2080,4160,208,10400,CUST008,Consideration,Consideration
2024-01-05,Q1 Brand Awareness - Meta,Meta,Canada,Technology,132000,3960,2640,122,4880,CUST001,Awareness,Awareness
2024-01-05,Google Search - Enterprise,Google,Canada,Financial Services,91000,4550,4050,278,8340,CUST002,Consideration,Conversion
2024-01-05,Pinterest Lifestyle Campaign,Pinterest,Canada,Retail,101000,3030,1515,102,2040,CUST003,Awareness,Awareness
2024-01-05,LinkedIn B2B - SaaS,LinkedIn,Canada,Technology,48000,1920,3840,192,9600,CUST004,Consideration,Consideration
2024-01-06,Q1 Brand Awareness - Meta,Meta,US,Technology,148000,4440,3120,142,5680,CUST005,Awareness,Awareness
2024-01-06,Google Search - Enterprise,Google,US,Financial Services,97000,4850,4350,305,9150,CUST006,Consideration,Conversion
2024-01-06,Pinterest Lifestyle Campaign,Pinterest,US,Retail,112000,3360,1680,118,2360,CUST007,Awareness,Awareness
2024-01-06,LinkedIn B2B - SaaS,LinkedIn,US,Technology,53000,2120,4240,212,10600,CUST008,Consideration,Consideration
2024-01-07,Q1 Brand Awareness - Meta,Meta,Canada,Technology,135000,4050,2700,125,5000,CUST001,Awareness,Awareness
